siteID,S,H,R/N,F
1,7,1.521065489,0.738709677,0.516129032
2,3,0.409458619,0.789473684,0.5
3,1,0,0.6,0.5
4,3,0.897366286,0.685714286,0.5
5,6,1.250017111,0.727868852,0.5
6,5,1.152812043,0.696363636,0.486363636
7,9,1.48077567,0.609063444,0.389728097
8,3,0.801435682,0.7,0.514705882
9,7,0.729199608,0.61888412,0.519313305
10,7,1.490135612,0.647058824,0.514705882
11,7,1.67307555,0.724358974,0.503205128
12,7,1.727108972,0.625,0.675
13,8,1.127041864,0.765722656,0.498535156
14,8,1.411564591,0.7088,0.572
15,6,1.244443592,0.726241135,0.475177305
16,3,0.876947672,0.75,0.5
17,11,1.84229818,0.631034483,0.612068966
18,8,1.049594762,0.628828829,0.513513514
19,5,1.353986791,0.720689655,0.5
20,8,1.412327589,0.699470899,0.526455026
21,9,1.016099589,0.650064516,0.514193548
22,8,1.606926574,0.653333333,0.54047619
23,5,0.570597298,0.60753012,0.501506024
24,11,1.536529756,0.577335984,0.647117296
25,4,1.517106397,0.683333333,0.791666667
26,4,0.581878645,0.63125,0.53125
27,4,1.251155983,0.7,0.65625
28,3,0.691502198,0.730434783,0.47826087
29,2,0.636514168,0.6,0.833333333
30,3,0.432441043,0.626206897,0.5
31,3,1.071730094,0.75,0.5
32,9,1.043236282,0.701574803,0.488188976
33,4,1.197112545,0.665644172,0.788343558
34,3,0.73562194,0.625,0.5625
35,0,0,0,0
36,2,0.03376203,0.601086957,0.5
37,4,1.119990356,0.866666667,0.777777778
38,3,0.99502699,0.733333333,0.611111111
39,3,0.167532181,0.608035714,0.502232143
40,3,0.509458556,0.619512195,0.524390244
