siteID,S,H,R/N,F
1,12,2.400563126,0.73015873,0.591269841
2,11,2.322187943,0.722222222,0.539351852
3,9,2.057722317,0.62745098,0.537990196
4,9,2.098147389,0.794871795,0.548076923
5,13,2.476247133,0.68627451,0.607843137
6,16,2.611773996,0.770114943,0.625
7,14,2.533484516,0.726190476,0.566220238
8,14,2.48424807,0.768115942,0.569746377
9,13,2.47622065,0.62962963,0.648148148
10,13,2.378401189,0.726190476,0.579613095
11,15,2.564435747,0.729166667,0.591796875
12,11,2.306668725,0.75,0.541666667
13,11,2.278117962,0.771929825,0.646929825
14,10,2.154783153,0.666666667,0.632291667
15,12,2.334549109,0.777777778,0.573412698
16,18,2.405321473,0.682170543,0.570736434
17,16,2.636391439,0.694444444,0.710069444
18,14,2.444182965,0.666666667,0.594401042
19,9,1.991598784,0.68,0.690833333
20,10,2.176185662,0.755555556,0.684722222
21,13,2.466577144,0.666666667,0.618055556
22,8,1.866216024,0.476190476,0.608630952
23,13,2.369064633,0.739583333,0.602864583
24,11,2.242973226,0.666666667,0.572916667
25,13,2.426984031,0.753623188,0.551630435
26,17,2.737975556,0.743589744,0.614583333
27,17,2.701935199,0.777777778,0.614583333
28,5,1.515707952,0.878787879,0.524621212
29,15,2.569604889,0.752380952,0.594642857
30,12,2.426015132,0.666666667,0.62109375
31,13,2.394814398,0.75,0.611111111
32,20,2.751666617,0.784313725,0.548406863
33,12,2.343932981,0.529411765,0.476715686
34,13,2.477072831,0.8,0.645
35,13,2.413303861,0.726190476,0.581845238
36,12,2.362727308,0.683333333,0.621875
37,14,2.500138026,0.712121212,0.514204545
38,8,1.925121191,0.58974359,0.612179487
39,13,2.452570013,0.757575758,0.680871212
40,12,2.331252849,0.746031746,0.587301587
