siteID,STA,STU,LOG,CI,CO,FC,BA,GI,TR,RD,FD
211,1.120054943,10.4947966,7.219879808,0.702,11.0188,68.089401,25.37841478,0.19574323,2,2,0
213,13.0398162,5.554844675,2.45147929,0.86,6.1364,60.967533,34.6693704,0.278244141,4,6,0
215,0.864881776,1.099048323,0.157634061,0.806,3.6916,65.185066,40.43995505,0.283992135,9,19,0
216,2.438427772,15.72058432,4.30563856,0.76,6.4966,68.895767,51.16890498,0.297901634,10,17,4
217,2.275770746,6.067564103,1.652067308,0.656,13.235,81.300652,26.32674448,0.240663373,13,15,7
218,0,6.075901405,0.081116864,0.866,10,77.022873,41.14098541,0.28543299,7,13,6
219,121.5394336,133.2108598,20.65924556,0.742,8.8976,91.263847,35.71042168,0.263783233,9,15,16
220,2.193669493,3.462495069,1.803527182,0.708,7.2364,80.382355,55.70009,0.266114865,9,19,2
221,4.278160586,0.909711538,0,0.798,23.9264,53.770969,31.33342524,0.213600807,8,17,40
222,13.33029925,22.4598456,3.791335984,0.746,9.8794,47.407768,27.99901177,0.349640181,5,7,1
224,19.6168838,20.2571949,13.52255917,0.674,12.8258,65.75563,42.30871144,0.24196398,6,15,6
226,22.77328843,6.30954142,0,0.722,8.1056,70.850166,49.46569354,0.301321382,8,6,5
227,0.482563913,4.736842641,0.186501479,0.615,17.2075,60.66013,19.85887069,0.130696365,5,8,15
228,2.148051551,4.12035503,0,0.77,9.5602,65.310455,28.55576832,0.282337578,4,3,9
229,2.366178315,2.278798077,0,0.55,17.8722,61.434639,29.07206324,0.158865929,10,39,6
230,9.157356464,13.51821561,5.603834504,0.79,16.9238,64.226227,23.32471221,0.17871951,9,15,35
231,0,4.627236501,0.205327293,0.742,27.776,62.33876,39.60945798,0.131349053,2,0,1
233,11.64331595,16.09838018,4.762577663,0.65,21.9424,57.213593,32.04752738,0.30269327,5,6,5
235,0,7.332894786,0,0.786,23.3152,50.796116,36.60136976,0.305670489,3,1,2
236,10.73037558,6.925198317,0.51941568,0.662,17.517,49.653847,25.50769243,0.185293704,7,17,15
237,4.715484398,1.084338018,0,0.598,33.457,22.331148,18.78658635,0.135628053,9,5,71
238,5.370056935,0.991595784,0,0.656,18.477,53.700996,17.62201758,0.13953877,8,12,17
239,2.688442436,3.686304549,1.277475962,0.78,11.7244,74.388351,26.63950964,0.172426681,6,25,44
240,7.891526298,6.20881287,0.115428994,0.894,22.9684,75.624184,18.36737462,0.146870661,6,8,0
241,0,10.56228458,5.989568849,0.824,16.2556,81.350479,58.28169833,0.11826254,5,18,0
242,4.908558099,7.210279216,0,0.618,41.1386,54.494984,26.14582097,0.299725522,7,3,8
245,0.326220653,5.683512389,3.665525148,0.64,17.9512,80.602005,54.17112239,0.210119881,7,13,0
246,0,9.037456854,1.111587771,0.736,13.9258,76.090614,69.74230949,0.231854114,4,8,0
247,0,87.77695853,21.90386834,0.684,21.7968,72.393547,32.84087602,0.115488215,5,10,0
248,10.29031187,48.09288554,1.191633691,0.632,12.1514,81.04319,49.99206494,0.319448372,5,10,0
249,17.89990601,14.55556819,7.882889238,0.786,14.8566,75.388351,35.43490276,0.120149206,6,8,0
250,28.2065499,25.62071487,3.59850037,0.7,26.7816,53.374592,43.95877761,0.217417393,6,5,0
251,0,5.997318787,2.133269231,0.602,46.2662,45.470966,24.48458317,0.4882134,4,3,0
253,0,47.21376405,21.95909763,0.682,14.594,71.870132,62.16044798,0.292828045,3,9,0
255,36.70681529,102.2152512,6.268223619,0.636,34.5404,42.771706,45.56778257,0.214741897,7,13,0
256,0,22.00208395,15.14230399,0.708,12.3238,74.224754,53.52384074,0.293380042,6,7,0
257,0.540044684,5.868786982,0.989275148,0.748,31.1644,52.86084,28.1770055,0.309026688,3,9,4
258,0.421408002,5.000432692,1.53117357,0.558,38.5542,74.032677,43.8201639,0.323326556,9,6,5
259,49.5140905,21.61295766,10.25525055,0.644,19.7692,53.580326,58.83386667,0.266055698,9,13,6
260,0.102820463,7.461238905,0.649358974,0.7,52.3802,18.524429,19.67797236,0.211228994,6,4,2
